Loan Amount,Interest Rate,Income,Credit Score,Loan Term,Property Value,Debt-to-Income Ratio,Loan-to-Value,Income-to-Loan Ratio,Monthly Payment,Interest Burden,Credit Score Category,High Risk Flag,Employment Type,Loan Purpose,Marital Status,Dependents,Approved
148491.23,3.82,78513.02,617,19,214685.79,0.22,0.692,0.529,917.12,0.14,Fair,0,Salaried,Home Improvement,Married,1,0
263558.68,3.29,62193.01,610,19,160772.64,0.16,1.639,0.236,1556.55,0.3,Fair,0,Retired,Other,Single,2,1
196003.99,4.64,69186.88,659,16,364909.47,0.36,0.537,0.353,1447.99,0.251,Fair,0,Salaried,Home Purchase,Married,1,1
237488.43,3.98,58385.87,720,10,228901.22,0.45,1.038,0.246,2401.91,0.494,Good,0,Retired,Home Improvement,Married,0,0
248318.89,4.74,70329.82,542,10,183842.86,0.31,1.351,0.283,2602.25,0.444,Poor,0,Salaried,Home Purchase,Married,1,0
214953.7,3.81,105491.93,650,13,289419.09,0.23,0.743,0.491,1748.84,0.199,Fair,0,Self-employed,Home Purchase,Married,0,0
156556.83,3,76483.24,538,10,234997.31,0.42,0.666,0.489,1511.72,0.237,Poor,0,Salaried,Home Purchase,Single,0,0
231652.51,4.04,55934.43,799,16,233346.58,0.22,0.993,0.241,1639.61,0.352,Very Good,0,Self-employed,Refinancing,Divorced,2,1
195211.66,5.12,78105.45,688,20,229624.59,0.37,0.85,0.4,1300.91,0.2,Good,0,Salaried,Home Purchase,Married,2,0
209500.54,5.71,91391.27,642,14,150000,0.33,1.397,0.436,1813.81,0.238,Fair,0,Salaried,Home Purchase,Single,1,1
181750.81,3,70481.66,309,11,320427.31,0.45,0.567,0.388,1618.27,0.276,Poor,0,Self-employed,Home Improvement,Married,0,1
110508.31,4.23,86679.59,621,10,150000,0.23,0.737,0.784,1131.02,0.157,Fair,0,Salaried,Home Improvement,Married,0,0
202928.26,5.91,40000,580,10,230902.32,0.22,0.879,0.197,2243.99,0.673,Fair,0,Retired,Home Purchase,Single,0,0
170087.41,3.41,52435.72,718,14,152202.33,0.24,1.118,0.308,1274.45,0.292,Good,0,Self-employed,Home Purchase,Married,0,1
215002.76,6,84614.42,630,22,150000,0.37,1.433,0.394,1468.63,0.208,Fair,0,Salaried,Home Purchase,Married,1,0
198207.52,3,45240.94,774,15,317315.95,0.34,0.625,0.228,1368.78,0.363,Very Good,0,Salaried,Home Purchase,Single,0,0
173678.39,3,83938.07,492,15,319842.82,0.15,0.543,0.483,1199.39,0.171,Poor,0,Salaried,Home Purchase,Married,0,1
306673.52,3,59787.85,624,14,260552.07,0.34,1.177,0.195,2237.78,0.449,Fair,0,Self-employed,Home Purchase,Single,0,0
184379.14,4.32,55506.7,678,17,327477.19,0.38,0.563,0.301,1277.59,0.276,Good,0,Salaried,Home Purchase,Married,3,1
203998.39,3.67,81941.08,752,10,359741.18,0.35,0.567,0.402,2033.44,0.298,Very Good,0,Salaried,Refinancing,Divorced,0,1
293920.46,5.97,86467.49,747,12,219127.46,0.49,1.341,0.294,2864.23,0.397,Very Good,0,Salaried,Home Purchase,Married,0,0
149578.33,5.66,99146.98,721,19,386942.42,0.29,0.387,0.663,1072.66,0.13,Good,0,Self-employed,Home Improvement,Married,1,1
241997.49,3.54,87590.42,559,19,240304.39,0.33,1.007,0.362,1459.59,0.2,Poor,0,Salaried,Home Purchase,Divorced,0,1
162635.53,5.31,82131.72,485,13,334200.81,0.36,0.487,0.505,1445.44,0.211,Poor,0,Retired,Home Purchase,Married,0,1
188448.32,3,101177.64,696,21,183622.22,0.44,1.026,0.537,1008.85,0.12,Good,0,Salaried,Refinancing,Single,0,0
219818.28,5.51,56190.92,663,10,150000,0.34,1.465,0.256,2386.21,0.51,Fair,0,Self-employed,Home Purchase,Married,0,0
257320.76,3,49977.95,850,13,256078.84,0.34,1.005,0.194,1994.03,0.479,Excellent,0,Retired,Home Purchase,Married,1,0
148869.06,6,45008.27,561,24,174995.12,0.22,0.851,0.302,976.55,0.26,Poor,0,Retired,Home Improvement,Single,1,0
212797.02,5.07,91513.58,498,21,331521.3,0.24,0.642,0.43,1374.36,0.18,Poor,0,Self-employed,Home Purchase,Married,1,1
162858.4,6,60363.88,736,20,248423.22,0.23,0.656,0.371,1166.77,0.232,Good,0,Unemployed,Refinancing,Single,0,1
232254.09,5.39,58996.31,656,10,251184.79,0.3,0.925,0.254,2508.25,0.51,Fair,0,Retired,Home Purchase,Single,2,0
248478.78,3.06,72934.84,605,13,286508.99,0.1,0.867,0.294,1932.2,0.318,Fair,0,Self-employed,Home Purchase,Married,0,0
233394.51,3,58432.7,495,10,217189.49,0.26,1.075,0.25,2253.67,0.463,Poor,0,Unemployed,Refinancing,Married,0,0
159750.52,3.13,61701.34,606,18,289465.68,0.22,0.552,0.386,968.15,0.188,Fair,0,Salaried,Home Purchase,Single,1,1
144856.28,5.25,65949.86,596,16,150000,0.42,0.966,0.455,1116.51,0.203,Fair,0,Unemployed,Home Purchase,Divorced,2,1
191402.9,3,85969.11,763,11,196837.1,0.3,0.972,0.449,1704.21,0.238,Very Good,0,Salaried,Home Improvement,Married,0,1
138629.48,6,98694.7,716,12,195502.43,0.13,0.709,0.712,1352.82,0.164,Good,0,Self-employed,Home Improvement,Divorced,1,1
225704.71,3.96,58928.21,696,14,192543.34,0.31,1.172,0.261,1752.43,0.357,Good,0,Salaried,Home Purchase,Divorced,1,0
270660.69,6,40000,741,15,329584.77,0.43,0.821,0.148,2283.99,0.685,Very Good,0,Salaried,Home Purchase,Married,1,0
160637.69,3.34,84735.42,652,18,179221.5,0.44,0.896,0.527,990.33,0.14,Fair,0,Salaried,Home Purchase,Married,1,1
226154.89,5.13,45431.97,652,21,330713.47,0.36,0.684,0.201,1467.2,0.388,Fair,0,Retired,Home Purchase,Single,1,0
160375.99,5.07,70044.99,596,22,332487.64,0.3,0.482,0.437,1009.02,0.173,Fair,0,Unemployed,Home Purchase,Married,0,1
262815.15,3,88613.79,558,19,150000,0.45,1.752,0.337,1513.66,0.205,Poor,1,Self-employed,Home Purchase,Married,1,0
250588.81,4.85,99973.62,700,11,294404.18,0.12,0.851,0.399,2453.9,0.295,Good,0,Salaried,Home Purchase,Single,1,1
196001.77,5.09,42725.22,799,12,168469.72,0.27,1.163,0.218,1821.28,0.512,Very Good,0,Self-employed,Home Purchase,Single,2,0
238256.44,5.36,89403.57,617,23,339101.88,0.19,0.703,0.375,1503.38,0.202,Fair,0,Retired,Home Improvement,Divorced,3,1
241863.23,6,40000,641,11,336864.51,0.26,0.718,0.165,2507.4,0.752,Fair,0,Unemployed,Home Improvement,Married,1,0
140388.97,3,65957.26,672,16,216203.65,0.34,0.649,0.47,921.56,0.168,Good,0,Salaried,Home Purchase,Single,0,0
224747.43,5.05,78275.41,735,19,203921.44,0.32,1.102,0.348,1535.31,0.235,Good,0,Salaried,Refinancing,Single,0,1
168891.74,3,53661.97,741,15,268448.88,0.27,0.629,0.318,1166.34,0.261,Very Good,0,Self-employed,Refinancing,Married,2,1
206203.74,3,82077.31,727,22,279878.6,0.45,0.737,0.398,1067.92,0.156,Good,0,Self-employed,Home Improvement,Divorced,1,1
182790.55,3,66963.69,762,10,182377.52,0.3,1.002,0.366,1765.04,0.316,Very Good,0,Unemployed,Home Improvement,Married,3,1
201442.39,4.58,74722.12,642,18,273900.79,0.27,0.735,0.371,1371.25,0.22,Fair,0,Salaried,Home Purchase,Married,2,1
246019.93,5.27,76101.23,713,14,287004.32,0.29,0.857,0.309,2073.33,0.327,Good,0,Salaried,Home Purchase,Divorced,3,1
142824.83,3.8,74556.76,562,20,236800.55,0.3,0.603,0.522,850.42,0.137,Poor,0,Self-employed,Home Purchase,Single,3,0
112546.17,4.19,102882.05,465,17,400000,0.5,0.281,0.914,772.35,0.09,Poor,0,Self-employed,Home Improvement,Single,0,1
177619.3,3,64775.83,485,10,311771.19,0.42,0.57,0.365,1715.11,0.318,Poor,0,Self-employed,Home Purchase,Single,0,0
255272.28,4.74,61104.45,507,22,273528.81,0.2,0.933,0.239,1559.57,0.306,Poor,0,Unemployed,Home Purchase,Divorced,0,0
155077.09,3.5,104184.11,752,17,222603.92,0.38,0.697,0.672,1009.97,0.116,Very Good,0,Self-employed,Home Purchase,Divorced,2,0
174214.22,3,66503.74,744,10,197494.92,0.19,0.882,0.382,1682.23,0.304,Very Good,0,Unemployed,Home Purchase,Single,0,0
258351.02,3,78284.51,510,14,150000,0.43,1.722,0.303,1885.18,0.289,Poor,1,Unemployed,Refinancing,Single,0,0
269229.16,3,91856.31,830,20,214300.51,0.31,1.256,0.341,1493.14,0.195,Excellent,0,Salaried,Home Improvement,Married,0,0
234629.24,3.85,83160.75,640,11,150000,0.28,1.564,0.354,2183.73,0.315,Fair,0,Salaried,Home Purchase,Married,0,1
220403.26,5.08,71979.63,550,10,150000,0.38,1.469,0.327,2345.98,0.391,Poor,0,Self-employed,Home Purchase,Married,3,0
250053.23,3,54401.67,591,10,198862.43,0.3,1.257,0.218,2414.53,0.533,Fair,0,Retired,Home Purchase,Married,1,0
179233.7,3.73,40000,626,17,317627.35,0.29,0.564,0.223,1187.72,0.356,Fair,0,Salaried,Home Purchase,Married,3,0
234630.68,6,73065.23,657,10,278856.67,0.14,0.841,0.311,2604.88,0.428,Fair,0,Salaried,Home Purchase,Married,2,1
160129.51,5.98,78602.13,556,25,289966.59,0.23,0.552,0.491,1030.01,0.157,Poor,0,Self-employed,Home Purchase,Married,0,0
280918.14,3.44,75753.47,635,18,303748.82,0.4,0.925,0.27,1745.63,0.277,Fair,0,Self-employed,Home Purchase,Married,0,0
252157.31,3.51,89747.38,661,18,295086.18,0.23,0.855,0.356,1576.38,0.211,Fair,0,Self-employed,Home Purchase,Single,0,0
232924.97,6,60870.15,790,21,163821.91,0.13,1.422,0.261,1627.81,0.321,Very Good,0,Retired,Home Purchase,Single,0,1
182896.99,4.5,80299.83,778,10,150000,0.4,1.219,0.439,1895.25,0.283,Very Good,0,Salaried,Home Improvement,Single,1,1
234674.33,3.74,82259.52,626,10,255944.01,0.13,0.917,0.351,2346.79,0.342,Fair,0,Salaried,Home Purchase,Married,0,1
199074.61,4.1,80959.27,754,16,300757.02,0.32,0.662,0.407,1415.24,0.21,Very Good,0,Unemployed,Other,Married,1,1
172191.45,3,111220.22,674,17,209780.09,0.31,0.821,0.646,1078.56,0.116,Good,0,Salaried,Home Purchase,Married,0,1
229248.99,3,78338.88,662,20,231476.72,0.32,0.99,0.342,1271.41,0.195,Fair,0,Salaried,Home Purchase,Married,1,1
104883.76,3.76,50091.19,562,13,227400.5,0.2,0.461,0.478,851.21,0.204,Poor,0,Self-employed,Home Improvement,Married,2,1
244340.25,6,55662.46,729,14,281406.75,0.31,0.868,0.228,2153.21,0.464,Good,0,Salaried,Refinancing,Single,1,1
148496.26,3.93,96237.94,718,20,183151.67,0.34,0.811,0.648,894.33,0.112,Good,0,Self-employed,Home Purchase,Married,1,1
236643.72,3.88,85730.2,493,19,389116.71,0.33,0.608,0.362,1468.85,0.206,Poor,0,Self-employed,Home Improvement,Married,3,1
125491.09,5.16,73271.68,592,10,236852.11,0.22,0.53,0.584,1341.09,0.22,Fair,0,Self-employed,Home Purchase,Married,2,1
179318.58,4.43,64341.67,702,11,211716.79,0.38,0.847,0.359,1718.76,0.321,Good,0,Salaried,Home Purchase,Married,1,1
222697.26,3,81707.85,587,10,232917,0.38,0.956,0.367,2150.38,0.316,Fair,0,Unemployed,Home Improvement,Married,1,0
243534.66,4.73,78417.92,817,22,324675.18,0.19,0.75,0.322,1486.51,0.227,Excellent,0,Self-employed,Home Purchase,Married,2,1
165452.14,3,84159.29,544,18,220191.3,0.48,0.751,0.509,992.26,0.141,Poor,0,Self-employed,Home Improvement,Married,0,0
153741.48,6,40000,540,19,191770.91,0.36,0.802,0.26,1131.66,0.339,Poor,0,Salaried,Home Purchase,Married,2,1
251096.83,5.03,69733.28,724,15,246130.56,0.35,1.02,0.278,1988.96,0.342,Good,0,Retired,Home Improvement,Married,2,0
295062.95,4.95,81694.28,611,16,241912.04,0.31,1.22,0.277,2227.89,0.327,Fair,0,Salaried,Home Purchase,Married,2,0
154505.57,6,67120.07,563,16,221147.53,0.35,0.699,0.434,1253.72,0.224,Poor,0,Salaried,Home Purchase,Married,2,0
100000,3,91981.63,634,15,222147.97,0.4,0.45,0.92,690.58,0.09,Fair,0,Self-employed,Home Improvement,Divorced,1,1
276037.44,5.3,90365.05,718,10,233598.57,0.43,1.182,0.327,2967.92,0.394,Good,0,Salaried,Home Purchase,Single,0,1
192636.85,4.54,50862.24,831,28,150000,0.29,1.284,0.264,1013.47,0.239,Excellent,0,Salaried,Home Purchase,Married,1,1
154728.86,5.09,98775.17,732,19,277131.24,0.31,0.558,0.638,1059.87,0.129,Good,0,Unemployed,Home Purchase,Married,1,1
202909.34,3.61,64093.31,787,10,216416.83,0.29,0.938,0.316,2017.34,0.378,Very Good,0,Salaried,Home Purchase,Single,2,1
297235.42,5.03,88632.29,661,19,360742.54,0.45,0.824,0.298,2026.63,0.274,Fair,0,Retired,Home Purchase,Single,0,1
232878.63,4.11,79260.91,687,18,365157.63,0.36,0.638,0.34,1527.4,0.231,Good,0,Unemployed,Home Improvement,Married,1,0
239029.62,5.76,66496.72,753,16,295869.63,0.39,0.808,0.278,1907.9,0.344,Very Good,0,Salaried,Home Purchase,Married,2,1
208089.46,4.67,97821.48,727,16,315415.94,0.46,0.66,0.47,1540.77,0.189,Good,0,Unemployed,Refinancing,Single,0,1
223849.24,5.68,98497.64,750,10,272407.77,0.27,0.822,0.44,2449.39,0.298,Very Good,0,Self-employed,Home Improvement,Single,1,1
284867.1,3.23,82678.48,650,10,243394.25,0.26,1.17,0.29,2781.03,0.404,Fair,0,Salaried,Home Purchase,Divorced,0,0
154871.55,3.53,90096.89,534,16,340370.66,0.21,0.455,0.582,1056.75,0.141,Poor,0,Self-employed,Home Purchase,Married,2,1
238005.05,3,59530.77,533,14,216063.76,0.24,1.102,0.25,1736.71,0.35,Poor,0,Salaried,Home Purchase,Single,2,1
198267.35,6,107265.75,639,13,281384.65,0.18,0.705,0.541,1833.42,0.205,Fair,0,Salaried,Other,Married,1,0
196850.5,6,73724.21,509,10,177735.04,0.32,1.108,0.375,2185.44,0.356,Poor,0,Retired,Other,Married,0,0
142780.91,3.09,77930.56,631,12,243623.37,0.35,0.586,0.546,1188.28,0.183,Fair,0,Self-employed,Home Purchase,Divorced,1,0
221041.6,4.64,97685.14,602,14,211863.05,0.12,1.043,0.442,1791.07,0.22,Fair,0,Unemployed,Home Purchase,Married,2,0
229110.7,6,68431.4,682,10,376379.69,0.24,0.609,0.299,2543.6,0.446,Good,0,Self-employed,Home Purchase,Single,0,0
190662.59,4.46,46728.02,850,13,380360.97,0.37,0.501,0.245,1612.91,0.414,Excellent,0,Retired,Home Purchase,Married,2,1
272359.33,4.47,49096.33,593,18,234993.42,0.19,1.159,0.18,1837.84,0.449,Fair,0,Self-employed,Refinancing,Single,2,0
204166.64,3.01,60323.97,622,16,213500.77,0.27,0.956,0.295,1341.23,0.267,Fair,0,Self-employed,Home Purchase,Single,1,1
100000,4.41,101016.49,620,15,233083.58,0.22,0.429,1.01,760.26,0.09,Fair,0,Salaried,Home Purchase,Single,2,1
227490.1,3,114593.81,645,11,285392.99,0.4,0.797,0.504,2025.52,0.212,Fair,0,Salaried,Home Purchase,Single,2,1
141865.74,6,95774.12,489,20,203814.41,0.16,0.696,0.675,1016.37,0.127,Poor,0,Self-employed,Home Purchase,Married,2,0
271422.03,3,65340.96,644,19,282186.08,0.28,0.962,0.241,1563.23,0.287,Fair,0,Unemployed,Home Improvement,Single,0,0
293804.46,3,77491.61,850,16,316724.29,0.36,0.928,0.264,1928.63,0.299,Excellent,0,Self-employed,Home Purchase,Married,1,0
250358.75,4.58,67852.84,850,10,321306.66,0.37,0.779,0.271,2604.85,0.461,Excellent,0,Unemployed,Home Improvement,Married,1,1
199972.56,3,46151.58,658,20,283907.84,0.29,0.704,0.231,1109.04,0.288,Fair,0,Salaried,Home Improvement,Married,1,1
230047.68,3,61298.21,753,13,236633.3,0.34,0.972,0.266,1782.69,0.349,Very Good,0,Self-employed,Home Improvement,Single,0,0
162612.46,6,57207.17,645,12,316962.18,0.45,0.513,0.352,1586.85,0.333,Fair,0,Self-employed,Home Purchase,Married,1,1
230633.63,5.14,40692.53,658,20,383585.18,0.34,0.601,0.176,1540.55,0.454,Fair,0,Self-employed,Home Purchase,Single,2,0
160253.63,3.89,69009.58,734,16,228253.28,0.5,0.702,0.431,1122.23,0.195,Good,0,Salaried,Refinancing,Divorced,0,1
293979.46,5.01,78559.55,640,13,188276.91,0.25,1.561,0.267,2568.32,0.392,Fair,0,Salaried,Home Purchase,Married,0,1
150709.38,4.88,69686.01,807,14,206808.21,0.34,0.729,0.462,1240.11,0.214,Excellent,0,Salaried,Home Improvement,Single,3,1
118083.36,3.21,70374.02,466,17,272273.13,0.39,0.434,0.596,751.82,0.128,Poor,0,Salaried,Home Purchase,Married,3,0
191765.81,3.79,70935.91,570,14,328619.03,0.28,0.584,0.37,1473.08,0.249,Poor,0,Salaried,Home Improvement,Married,0,1
229615.74,3.84,51148.44,700,10,253032.44,0.27,0.907,0.223,2307.83,0.541,Good,0,Unemployed,Home Improvement,Single,0,0
315877.37,3.66,91368.73,516,12,227605.78,0.36,1.388,0.289,2713.87,0.356,Poor,0,Self-employed,Home Purchase,Married,2,1
163822.01,3.58,48398.68,549,17,210676.57,0.3,0.778,0.295,1073.42,0.266,Poor,0,Salaried,Home Improvement,Married,3,0
203130,5.45,50696.12,646,12,311059.15,0.29,0.653,0.25,1924.83,0.456,Fair,0,Salaried,Home Improvement,Married,1,1
199957.56,3.95,108768.51,431,17,264477.56,0.35,0.756,0.544,1347.64,0.149,Poor,0,Retired,Home Purchase,Divorced,0,1
147348.97,5.65,74674.99,498,10,352156.76,0.26,0.418,0.507,1610.1,0.259,Poor,0,Self-employed,Home Improvement,Single,1,0
149944.02,3.09,40000,509,10,196636.51,0.34,0.763,0.267,1454.08,0.436,Poor,0,Salaried,Home Purchase,Single,0,0
105705.37,4.92,115727.43,662,11,310384.4,0.29,0.341,1.095,1038.81,0.108,Fair,0,Self-employed,Home Purchase,Married,3,1
276372.46,3,94430.02,590,17,220805.82,0.21,1.252,0.342,1731.13,0.22,Fair,0,Salaried,Home Improvement,Married,3,1
160279.78,5,64548.56,659,10,267777.99,0.27,0.599,0.403,1699.89,0.316,Fair,0,Salaried,Home Purchase,Married,0,0
100000,5.54,89965.12,625,10,179898.24,0.3,0.556,0.9,1087.34,0.145,Fair,0,Self-employed,Home Purchase,Married,0,1
180665.8,3,53661.32,758,18,228984.3,0.28,0.789,0.297,1083.49,0.242,Very Good,0,Salaried,Home Purchase,Married,2,1
260929.01,4.63,57116.25,534,11,334085.62,0.24,0.781,0.219,2526.06,0.531,Poor,0,Unemployed,Home Purchase,Single,2,0
225775.61,5.39,62089.87,696,12,198525.58,0.33,1.137,0.275,2132.23,0.412,Good,0,Unemployed,Home Improvement,Married,2,0
225544.2,3.82,89076.62,585,11,161317.19,0.36,1.398,0.395,2095.63,0.282,Fair,0,Self-employed,Other,Single,2,1
280939.67,5.57,99596.71,654,10,223697.84,0.15,1.256,0.355,3058.75,0.369,Fair,0,Self-employed,Other,Single,0,1
252099.09,3.2,72986.92,432,17,283414.46,0.39,0.89,0.29,1604.11,0.264,Poor,0,Self-employed,Refinancing,Single,1,0
100000,4.68,83339.79,494,13,396621.83,0.38,0.252,0.833,856.91,0.123,Poor,0,Salaried,Refinancing,Married,1,1
176132.95,4.34,80963.47,642,10,173232.11,0.5,1.017,0.46,1811.88,0.269,Fair,0,Salaried,Home Purchase,Married,2,1
221727.07,4.44,45461.7,711,15,150000,0.28,1.478,0.205,1689.79,0.446,Good,0,Salaried,Home Improvement,Married,2,0
209464.35,5.9,40000,403,18,356822.33,0.23,0.587,0.191,1576.65,0.473,Poor,0,Salaried,Home Purchase,Single,1,1
227788.81,4.39,80608.78,569,10,277165.71,0.2,0.822,0.354,2348.73,0.35,Poor,0,Salaried,Refinancing,Married,1,0
334171.39,3.57,78332.34,542,11,305008.96,0.24,1.096,0.234,3065.55,0.47,Poor,0,Self-employed,Home Improvement,Divorced,1,0
151513.59,6,57141,642,11,271243.56,0.4,0.559,0.377,1570.75,0.33,Fair,0,Unemployed,Home Improvement,Married,2,0
100000,6,53571.78,772,23,213741.03,0.32,0.468,0.536,668.85,0.15,Very Good,0,Unemployed,Home Purchase,Single,2,1
100000,6,69999.36,663,17,305935.24,0.3,0.327,0.7,783.1,0.134,Fair,0,Unemployed,Home Improvement,Single,1,1
246075.12,6,70164.7,622,18,191124.21,0.28,1.288,0.285,1865.65,0.319,Fair,0,Salaried,Home Purchase,Single,0,0
191992.87,5.34,63538.19,567,26,244506.98,0.11,0.785,0.331,1139.81,0.215,Poor,0,Retired,Other,Married,0,0
125553,6,71629.39,659,13,254173.85,0.2,0.494,0.571,1161.02,0.195,Fair,0,Salaried,Home Purchase,Married,1,1
188253.04,3.37,40000,850,12,225767.69,0.38,0.834,0.212,1591.25,0.477,Excellent,0,Self-employed,Home Purchase,Married,0,1
175992.47,3.05,49745.4,706,10,277315.49,0.24,0.635,0.283,1703.52,0.411,Good,0,Salaried,Home Improvement,Divorced,1,0
182323.17,3,116364.64,628,10,216591.43,0.28,0.842,0.638,1760.53,0.182,Fair,0,Unemployed,Home Purchase,Married,3,1
104338.84,3.2,118812.29,486,11,195513.43,0.23,0.534,1.139,938.82,0.095,Poor,0,Self-employed,Home Purchase,Single,2,1
229641.33,3.93,47508.46,809,18,400000,0.18,0.574,0.207,1485.04,0.375,Excellent,0,Salaried,Home Improvement,Married,1,1
235887.05,3,99880.67,720,16,400000,0.41,0.59,0.423,1548.44,0.186,Good,0,Salaried,Home Purchase,Married,1,1
206447.17,4.29,83217.4,687,25,150000,0.28,1.376,0.403,1123.05,0.162,Good,0,Salaried,Home Purchase,Married,0,0
196186.67,3,50567.29,740,15,355196.65,0.35,0.552,0.258,1354.83,0.322,Very Good,0,Salaried,Home Purchase,Married,0,1
208946.77,3,63415.13,821,19,187223.34,0.37,1.116,0.303,1203.41,0.228,Excellent,0,Self-employed,Refinancing,Married,0,1
202460.42,3,96409.26,569,15,400000,0.31,0.506,0.476,1398.15,0.174,Poor,0,Self-employed,Home Purchase,Married,1,0
111220.08,3,86898.73,709,10,287041.92,0.31,0.387,0.781,1073.95,0.148,Good,0,Salaried,Home Purchase,Single,2,1
158103.94,3.37,86802.63,762,17,239075.82,0.44,0.661,0.549,1019.39,0.141,Very Good,0,Salaried,Refinancing,Single,2,1
210697.94,6,67820.04,608,15,157037.67,0.21,1.342,0.322,1777.99,0.315,Fair,0,Self-employed,Home Purchase,Married,1,0
163236.18,3,40000,714,13,182657.46,0.45,0.894,0.245,1264.95,0.379,Good,0,Salaried,Home Improvement,Married,0,0
244181.68,6,87877.99,574,10,303324.42,0.27,0.805,0.36,2710.92,0.37,Poor,0,Salaried,Home Purchase,Married,3,1
132419.73,5.29,77876.1,645,18,260447.02,0.39,0.508,0.588,951.55,0.147,Fair,0,Retired,Home Purchase,Married,1,1
317427.35,4.16,92337.94,674,10,150000,0.46,2.116,0.291,3238.7,0.421,Good,0,Self-employed,Home Improvement,Single,2,0
303690.97,3.02,94944.68,595,24,165089.32,0.22,1.84,0.313,1484.4,0.188,Fair,0,Self-employed,Home Purchase,Married,0,0
185833.6,3.67,40000,549,16,234956.71,0.39,0.791,0.215,1281.28,0.384,Poor,0,Self-employed,Home Improvement,Married,1,0
125145.84,3,108428.84,626,10,400000,0.43,0.313,0.866,1208.42,0.134,Fair,0,Salaried,Refinancing,Married,0,1
173192.23,3.78,75720.72,773,20,211324.26,0.27,0.82,0.437,1029.75,0.163,Very Good,0,Unemployed,Home Purchase,Single,2,1
260686.15,3.43,72297.47,692,20,179452.01,0.37,1.453,0.277,1502.39,0.249,Good,0,Self-employed,Other,Married,0,1
183046.59,5.24,40000,787,13,216974.57,0.29,0.844,0.219,1620.43,0.486,Very Good,0,Self-employed,Home Purchase,Married,2,0
219702.86,3,68111.77,450,21,400000,0.23,0.549,0.31,1176.17,0.207,Poor,0,Unemployed,Home Purchase,Married,0,1
202566.76,4.67,75430.66,663,13,400000,0.35,0.506,0.372,1734.41,0.276,Fair,0,Salaried,Refinancing,Divorced,1,0
228605.29,4.02,105180.19,599,10,184526.73,0.28,1.239,0.46,2316.26,0.264,Fair,0,Self-employed,Refinancing,Single,0,0
225038.82,3.67,54780.52,559,16,244121.32,0.43,0.922,0.243,1550.95,0.34,Poor,1,Salaried,Home Purchase,Single,1,0
185172.91,3,70393.01,515,10,150000,0.34,1.234,0.38,1788.04,0.305,Poor,0,Salaried,Home Purchase,Married,3,0
272661.03,3.46,64581.12,704,21,264284.77,0.28,1.032,0.237,1524.29,0.283,Good,0,Salaried,Home Improvement,Divorced,0,1
225458.23,4.17,63368.99,537,15,258651.6,0.28,0.872,0.281,1686.45,0.319,Poor,0,Self-employed,Other,Single,2,1
259078.64,4.85,64185.32,652,17,279634.25,0.24,0.926,0.248,1867.09,0.349,Fair,0,Salaried,Home Purchase,Single,0,1
187759.04,4.96,40000,679,10,293995.02,0.39,0.639,0.213,1987.84,0.596,Good,0,Salaried,Refinancing,Married,0,1
191709.37,5.55,76338.09,681,10,232170.35,0.26,0.826,0.398,2085.08,0.328,Good,0,Self-employed,Home Purchase,Married,2,1
334029.97,4.1,61472.65,618,13,150000,0.36,2.227,0.184,2765.79,0.54,Fair,0,Salaried,Other,Married,1,0
198141.94,4.15,82291.22,768,16,242103.83,0.25,0.818,0.415,1414.21,0.206,Very Good,0,Salaried,Home Improvement,Single,1,1
262673.67,3.92,98024.54,849,20,150000,0.19,1.751,0.373,1580.39,0.193,Excellent,0,Salaried,Home Purchase,Married,0,1
127199.7,5.08,63950.65,737,19,150000,0.39,0.848,0.503,871.01,0.163,Good,0,Self-employed,Home Purchase,Married,0,1
217883.36,4.2,66496.08,545,13,280700.33,0.31,0.776,0.305,1815.08,0.328,Poor,0,Salaried,Home Purchase,Married,2,0
179611.25,5.42,78326.36,708,19,219718.24,0.14,0.817,0.436,1263.28,0.194,Good,0,Self-employed,Home Purchase,Married,1,0
276941.47,5.66,68501.45,626,15,206396.29,0.3,1.342,0.247,2286.95,0.401,Fair,0,Unemployed,Home Purchase,Divorced,3,1
166212.62,5.5,88748.9,765,14,266072.2,0.39,0.625,0.534,1420.64,0.192,Very Good,0,Retired,Home Purchase,Married,1,1
178560.4,3.61,96822.97,621,10,237874.88,0.32,0.751,0.542,1774.93,0.22,Fair,0,Salaried,Home Purchase,Married,2,0
228981.25,3,111893.02,850,15,176670.38,0.32,1.296,0.489,1581.3,0.17,Excellent,0,Self-employed,Home Purchase,Single,1,1
147433.32,4.48,62034.71,652,14,236543.82,0.5,0.623,0.421,1182.67,0.229,Fair,0,Salaried,Home Purchase,Single,3,1
206367.89,4.57,59287.52,774,16,216718.43,0.22,0.952,0.287,1517.09,0.307,Very Good,0,Salaried,Home Improvement,Single,0,0
169907.73,3,92745.3,606,13,279160.01,0.3,0.609,0.546,1316.65,0.17,Fair,0,Salaried,Other,Single,0,1
207013.59,6,71212.53,488,12,200310.21,0.42,1.033,0.344,2020.14,0.34,Poor,1,Unemployed,Home Improvement,Married,2,0
195434.32,4.94,72737.89,568,16,216265.28,0.4,0.904,0.372,1474.61,0.243,Poor,0,Salaried,Home Improvement,Single,2,0
291783.38,6,71822.43,698,16,201938.38,0.36,1.445,0.246,2367.64,0.396,Good,0,Salaried,Home Purchase,Married,1,1
223132.67,4.47,100779.22,808,15,150000,0.35,1.488,0.452,1703.31,0.203,Excellent,0,Salaried,Home Purchase,Single,3,1
